Economy,Gender,Count of Gender,Reason_no_account_too_far
Afghanistan,Female,33,
Afghanistan,Female,13,(dk)
Afghanistan,Female,362,No
Afghanistan,Female,95,Yes
Afghanistan,Male,85,
Afghanistan,Male,10,(dk)
Afghanistan,Male,166,No
Afghanistan,Male,238,Yes
Albania,Female,241,
Albania,Female,19,(dk)
Albania,Female,179,No
Albania,Female,138,Yes
Albania,Male,188,
Albania,Male,16,(dk)
Albania,Male,102,No
Albania,Male,117,Yes
Algeria,Female,241,
Algeria,Female,17,(dk)
Algeria,Female,118,No
Algeria,Female,84,Yes
Algeria,Male,412,
Algeria,Male,10,(dk)
Algeria,Male,57,No
Algeria,Male,63,Yes
Bulgaria,Female,428,
Bulgaria,Female,21,No
Bulgaria,Female,22,Yes
Bulgaria,Male,484,
Bulgaria,Male,2,(dk)
Bulgaria,Male,1,(ref)
Bulgaria,Male,12,No
Bulgaria,Male,35,Yes
Canada,Female,520,
Canada,Female,1,Yes
Canada,Male,485,
Canada,Male,1,(ref)
Colombia,Female,344,
Colombia,Female,1,(dk)
Colombia,Female,63,No
Colombia,Female,132,Yes
Colombia,Male,329,
Colombia,Male,22,No
Colombia,Male,109,Yes
India,Female,1089,
India,Female,4,(dk)
India,Female,4,(ref)
India,Female,226,No
India,Female,59,Yes
India,Male,1283,
India,Male,10,(dk)
India,Male,4,(ref)
India,Male,218,No
India,Male,103,Yes
Kenya,Female,394,
Kenya,Female,1,(dk)
Kenya,Female,69,No
Kenya,Female,46,Yes
Kenya,Male,416,
Kenya,Male,1,(ref)
Kenya,Male,29,No
Kenya,Male,44,Yes
Malta,Female,507,
Malta,Female,1,(ref)
Malta,Female,6,No
Malta,Female,10,Yes
Malta,Male,468,
Malta,Male,3,No
Malta,Male,5,Yes
Mexico,Female,232,
Mexico,Female,6,(dk)
Mexico,Female,155,No
Mexico,Female,220,Yes
Mexico,Male,201,
Mexico,Male,5,(dk)
Mexico,Male,56,No
Mexico,Male,125,Yes
Pakistan,Female,65,
Pakistan,Female,23,(dk)
Pakistan,Female,1,(ref)
Pakistan,Female,360,No
Pakistan,Female,54,Yes
Pakistan,Male,172,
Pakistan,Male,48,(dk)
Pakistan,Male,207,No
Pakistan,Male,72,Yes
Philippines,Female,341,
Philippines,Female,120,No
Philippines,Female,112,Yes
Philippines,Male,286,
Philippines,Male,78,No
Philippines,Male,63,Yes
